	Category_1	Category_2	Category_3	Category_4
		45702.0	79743.0	101918.0
-->-->-->	40660.0			
ABS			15.0	
AKF-Behälter				9.0
Abdeckung LTR vorn				1.0
Abdeckungen				7.0
Abdeckungen_Blenden				1.0
Abgasanlage		2511.0		
Abschirmbleche			1.0	
Achslenker			710.0	
Aggregate / Fahrwerk-->-->-->	88.0			
Aggregate / Fahrwerk-->Abgasanlage-->Halter und Aufhängungen-->	1.0			
Aggregate / Fahrwerk-->Abgasanlage-->Schalldämpfer-->	11.0			
Aggregate / Fahrwerk-->Anbauteile Motorraum-->-->	10.0			
Aggregate / Fahrwerk-->Bremssystem-->-->	1.0			
Aggregate / Fahrwerk-->Bremssystem-->BKV-->	10.0			
Aggregate / Fahrwerk-->Bremssystem-->Bremsleitungen-->	7.0			
Aggregate / Fahrwerk-->Bremssystem-->Bremsscheiben-->	4.0			
Aggregate / Fahrwerk-->Bremssystem-->ESC-Aggregat-->	4.0			
Aggregate / Fahrwerk-->Bremssystem-->Sättel-->	10.0			
Aggregate / Fahrwerk-->Bremssystem-->Sättel-->HA links	3.0			
Aggregate / Fahrwerk-->Bremssystem-->Sättel-->VA links	3.0			
Aggregate / Fahrwerk-->Getriebe-->-->	13.0			
Aggregate / Fahrwerk-->Getriebe-->Getriebegehäuse-->	13.0			
Aggregate / Fahrwerk-->Getriebe-->Getriebestütze / -lager-->	2.0			
Aggregate / Fahrwerk-->Getriebe-->Tunnelquerträger-->	19.0			
Aggregate / Fahrwerk-->HA-->-->	23.0			
Aggregate / Fahrwerk-->HA-->Achslenker-->	5.0			
Aggregate / Fahrwerk-->HA-->Anbauteile-->	2.0			
Aggregate / Fahrwerk-->HA-->Dämpfungssystem-->	2.0			
Aggregate / Fahrwerk-->HA-->Dämpfungssystem-->Dämpfer	6.0			
Aggregate / Fahrwerk-->HA-->Dämpfungssystem-->Luftfederkompr	3.0			
Aggregate / Fahrwerk-->HA-->HIRA-->	10.0			
Aggregate / Fahrwerk-->HA-->Schwenklager Radträger-->	4.0			
Aggregate / Fahrwerk-->HA-->Stabilisator-->	15.0			
Aggregate / Fahrwerk-->Kraftstoffanlage-->-->	21.0			
Aggregate / Fahrwerk-->Kraftstoffanlage-->Druckrahmen-->	37.0			
Aggregate / Fahrwerk-->Kraftstoffanlage-->Kraftstoffleitungen-->	7.0			
Aggregate / Fahrwerk-->Kraftstoffanlage-->Tank-->	13.0			
Aggregate / Fahrwerk-->Kraftstoffanlage-->Tank-->Einfüllstutzen	1.0			
Aggregate / Fahrwerk-->Kraftstoffanlage-->Tank-->Spannbänder	6.0			
Aggregate / Fahrwerk-->Lenkung-->Lenkgetriebe-->	10.0			
Aggregate / Fahrwerk-->Lenkung-->Lenksäule-->	10.0			
Aggregate / Fahrwerk-->Motor-->-->	13.0			
Aggregate / Fahrwerk-->Motor-->Anbauteile-->	28.0			
Aggregate / Fahrwerk-->Motor-->Motorlager-->	2.0			
Aggregate / Fahrwerk-->VA-->-->	2.0			
Aggregate / Fahrwerk-->VA-->Achslenker-->	7.0			
Aggregate / Fahrwerk-->VA-->Achslenker-->Querlenker links	1.0			
Aggregate / Fahrwerk-->VA-->Anbauteile-->	1.0			
Aggregate / Fahrwerk-->VA-->Dämpfungssystem-->	32.0			
Aggregate / Fahrwerk-->VA-->Gelenkwellen-->	12.0			
Aggregate / Fahrwerk-->VA-->HIRA-->	23.0			
Aggregate / Fahrwerk-->VA-->Schwenklager  Radträger-->	13.0			
Aggregate / Fahrwerk-->VA-->Schwenklager  Radträger-->Radlager	2.0			
Aggregate / Fahrwerk-->VA-->Stabilisator-->	5.0			
Aggregate / Fahrwerk-->VA-->Übersichten ZSB-->	1.0			
Aggregate_Fahrwerk-->-->-->	2892.0			
Aggregate_Fahrwerk-->Abgasanlage-->-->	1886.0			
Aggregate_Fahrwerk-->Abgasanlage-->Abschirmbleche-->	1.0			
Aggregate_Fahrwerk-->Abgasanlage-->Anbauteile-->	457.0			
Aggregate_Fahrwerk-->Abgasanlage-->Dämpfungssystem-->	3.0			
Aggregate_Fahrwerk-->Abgasanlage-->Endrohrblenden-->	116.0			
Aggregate_Fahrwerk-->Abgasanlage-->Flexelemente-->	3.0			
Aggregate_Fahrwerk-->Abgasanlage-->Halter_Aufhängungen-->	26.0			
Aggregate_Fahrwerk-->Abgasanlage-->Tank-->	2.0			
Aggregate_Fahrwerk-->Abgasanlage-->Übersichten ZSB-->	5.0			
Aggregate_Fahrwerk-->Bremssystem-->-->	3296.0			
Aggregate_Fahrwerk-->Bremssystem-->BKV-->	25.0			
Aggregate_Fahrwerk-->Bremssystem-->Bremsleitungen-->	363.0			
Aggregate_Fahrwerk-->Bremssystem-->Bremsscheiben-->	220.0			
Aggregate_Fahrwerk-->Bremssystem-->Bremsscheiben-->Hinten	9.0			
Aggregate_Fahrwerk-->Bremssystem-->Bremsscheiben-->Vorne	6.0			
Aggregate_Fahrwerk-->Bremssystem-->Dämpfungssystem-->	4.0			
Aggregate_Fahrwerk-->Bremssystem-->ESP-Aggregat-->	100.0			
Aggregate_Fahrwerk-->Bremssystem-->Flexelemente-->	3.0			
Aggregate_Fahrwerk-->Bremssystem-->Halter_Aufhängungen-->	9.0			
Aggregate_Fahrwerk-->Bremssystem-->Klimaanlage-->Luftfederkompr	4.0			
Aggregate_Fahrwerk-->Bremssystem-->Sättel-->	950.0			
Aggregate_Fahrwerk-->Bremssystem-->Sättel-->HA_rechts	4.0			
Aggregate_Fahrwerk-->Bremssystem-->Sättel-->VA_links	1.0			
Aggregate_Fahrwerk-->Bremssystem-->Sättel-->VA_rechts	5.0			
Aggregate_Fahrwerk-->Bremssystem-->Tank-->	6.0			
